BOR;AN;FI;FI_EJ;SMUR;GEN;SAIS;PED;ANT;FIAUTOR;ANTSAIS;SAMU;HMED;HIDE;HAMB;AMBLCE;VEHLEG;MOYAER;MOYMAR;SORTER1;SORTER2;dtTIH;SORAER1;SORAER2;SORMAR;SORTIES;SORTNM;PATDC;PATLSP;PATTSP;PATTRANM;TRAN;TRAN18;TRAN80;TRANSIEG;TRANAUT;APP;APD;APMIN;DR;DRM;DRMLIB;HMR;HMRAMU;HMRAM;ARM;PDSA;NRML;NBLIB;CAR;SAMUSDIS
SMURSAMU;2014;910000306;910110063;1;1;0;0;0;;0;0;168;35;168;;2;;;1306;;;0;;;1306;684;103;3;78;396;1118;79;491;576;542;;;;;;;;;;;;;;;
SMURSAMU;2014;910000314;910002773;1;1;0;0;0;910000314;0;1;457;336;504;4;4;;;2964;1547;;23;105;;4639;1373;234;18;112;890;1612;120;284;1094;518;307645;282800;270169;176723;115547;63474;604;308;228;913;1;0;;;1
SMURSAMU;2014;910001973;910019447;1;1;0;0;0;;0;0;168;168;168;;1;;;822;8;;;;;830;318;60;34;;217;504;206;42;260;244;;;;;;;;;;;;;;;
SMURSAMU;2014;910018423;910019454;1;1;0;0;0;;0;0;190;168;168;;2;;;1908;;;2;;;1910;925;140;27;59;671;989;122;400;111;878;;;;;;;;;;;;;;;
SMURSAMU;2014;920100021;750712184;1;0;0;1;0;;0;0;262;213;213;3;0;0;0;370;1211;0;0;8;0;1589;31;4;0;18;29;282;282;0;50;232;;;;;;;;;;;;;;;
SMURSAMU;2014;920100039;750712184;1;1;0;0;0;;0;0;268;218;268;4;1;;;2839;1256;0;1;11;0;4107;975;177;;;788;1864;122;309;291;1573;;;;;;;;;;;;;;;
SMURSAMU;2014;920100054;750712184;1;1;0;0;0;;0;1;554;653;588;5;2;1;0;4031;1705;0;;20;0;5756;2082;305;14;148;1367;1949;169;470;65;1884;399059;391233;;289401;156149;105587;545;330;215;845;1;0;0;;0
SMURSAMU;2014;930000286;930021480;1;1;0;0;0;930021480;0;0;183;183;183;3;;;;1923;67;;;;;1990;1087;124;29;217;667;830;49;183;444;386;;;;;;;;;;;;;;;
SMURSAMU;2014;930000328;930110051;1;1;0;0;0;;0;0;204;204;204;3;;;;2011;452;;;;;2463;1005;168;6;188;677;1006;103;149;461;545;;;;;;;;;;;;;;;
SMURSAMU;2014;930000336;930110069;1;1;0;0;0;;0;0;468;2400;0;3;0;1;0;1943;678;;5;7;;2633;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;930100037;750712184;1;1;0;1;0;750712184;0;1;732;732;732;5;1;0;0;4936;2193;0;0;0;0;7129;2551;316;32;417;1622;2804;511;426;634;2170;506776;497127;401181;371481;207845;81364;672;336;336;1071;1;0;2;;0
SMURSAMU;2014;940000599;940110042;1;1;0;0;0;;0;0;168;168;168;1;;;;1513;278;0;0;0;0;1791;522;110;4;31;349;988;77;225;514;474;;;;;;;;;;;;;;;
SMURSAMU;2014;940100027;750712184;1;1;0;0;0;;0;1;606;564;732;5;1;1;0;5750;1585;0;11;56;0;7402;1693;503;74;298;1607;4057;350;787;1665;2392;466178;353730;304453;241341;142954;66233;706;358;220;857;1;0;21;116;0
SMURSAMU;2014;950000307;950110015;1;1;0;0;0;950110080;0;0;336;336;336;0;0;0;0;2822;399;;3;5;;3229;1221;182;237;0;890;2254;210;590;1504;750;;;;;;;;;;;;;;;
SMURSAMU;2014;950000315;950001370;1;1;0;0;0;;0;0;168;168;168;1;;;;1317;51;0;8;0;0;1376;369;95;12;58;363;714;;;365;369;;;;;;;;;;;;;;;
SMURSAMU;2014;950000323;950013870;1;1;0;0;0;950013870;0;0;336;336;336;3;1;;;3209;692;;6;33;0;3940;1591;192;29;207;1163;2552;194;834;1775;777;;;;;;;;;;;;;;;
SMURSAMU;2014;950000331;950110049;1;1;0;0;0;;0;0;48;48;0;0;0;0;0;2282;194;0;0;0;0;2476;1049;145;25;240;639;1233;235;490;884;349;;;;;;;;;;;;;;;
SMURSAMU;2014;950000364;950110080;1;1;0;1;0;950000364;0;1;470;447;470;5;1;0;0;3368;995;0;21;34;0;4418;1465;170;0;132;836;2347;;;1520;827;738827;428430;335995;321322;194506;35201;452;336;116;701;1;0;0;2068;0
SMURSAMU;2014;970100392;970100178;1;1;0;0;0;;0;0;168;168;168;0;2;0;0;664;89;0;30;14;0;797;82;40;4;35;3;612;80;170;581;31;;;;;;;;;;;;;;;
SMURSAMU;2014;970100400;970100186;1;1;0;0;0;;0;0;4;6;0;;1;;;167;114;;0;236;;517;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;970100442;970100228;1;1;0;0;0;970100228;0;1;368;396;396;2;3;;;4818;313;;603;338;19;6091;841;403;20;418;;;;;;;691749;388725;;81150;70208;10942;320;198;122;568;1;1;3;804;0
SMURSAMU;2014;970211215;970211207;1;1;0;0;0;;0;1;336;228;396;2;3;0;0;4889;508;365;695;196;10;6298;3201;419;59;548;2175;2249;341;992;1756;493;;;;165785;54004;31751;168;168;101;483;1;0;0;2633;0
SMURSAMU;2014;970211223;970211207;1;1;0;0;0;;0;0;46;0;0;0;1;0;0;264;0;0;0;0;0;264;;11;;;;221;;;155;66;;;;;;;;;;;;;;;
SMURSAMU;2014;970300026;970302022;1;1;0;0;0;970300026;0;1;168;390;230;;;;;1157;72;;250;590;1;2070;;;;;;;;;;;541691;495734;;34456;28218;0;;170;;310;0;0;0;;0
SMURSAMU;2014;970300083;970302121;1;1;0;0;0;970302121;0;0;308;504;0;;1;;;156;;;;;;156;;22;;;;134;21;;134;;;;;;;;;;;;;;;;
SMURSAMU;2014;970300265;750721334;1;1;0;0;0;;0;0;168;168;0;1;;;;143;106;;;;;249;25;24;1;;;118;;;118;;;;;;;;;;;;;;;;
SMURSAMU;2014;970400024;970408589;1;1;1;0;0;970408589;0;1;343;548;280;2;2;0;0;1676;658;157;173;87;10;2604;763;215;12;146;390;1584;163;127;1402;182;438956;400158;392424;305060;145209;49928;581;336;245;679;1;0;0;478;0
SMURSAMU;2014;970400057;970408589;1;1;1;0;0;970408589;0;0;238;252;0;0;4;0;0;2182;351;0;4;4;0;2541;766;183;11;109;463;1879;193;150;1663;216;;;;;;;;;;;;;;;
SMURSAMU;2014;970400065;970421038;1;1;0;0;0;;0;0;175;345;0;;;;;1033;445;377;;;;1478;;93;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;970400073;970403606;1;1;0;0;0;;0;0;168;168;0;;3;;;906;392;;0;0;0;1298;124;77;10;38;1;778;75;81;633;145;;;;;;;;;;;;;;;
SMURSAMU;2014;980500011;980500003;1;1;0;0;0;;0;1;1344;262;262;2;1;;;802;475;6;53;;;1330;;95;106;;;;;;1330;;103839;;;45520;45520;0;48;48;0;252;0;0;0;;0
