BOR;AN;FI;FI_EJ;INTMED;INTPHA;INTODO;INTGEN;FFI;INTTOT
Q22;2014;460000110;460780216;15;0;0;11;2;28
Q22;2014;460785090;460785090;5;;;;1;6
Q22;2014;470000423;470000316;10;1;0;31;4;46
Q22;2014;470000431;470000324;;;;15;;15
Q22;2014;470000480;470001660;0;0;0;13;0;13
Q22;2014;470000563;470000381;4;;;1;;5
Q22;2014;470005406;470000316;0;0;0;2;0;2
Q22;2014;480000017;480780097;;;;12;;12
Q22;2014;490000049;490000031;230;18;;58;5;311
Q22;2014;490000106;490000163;17;0;0;2;0;19
Q22;2014;490000155;490017258;22;1;;;;23
Q22;2014;490000254;490015765;;;;1;;1
Q22;2014;490000601;490015856;1;;;;;1
Q22;2014;490000635;490000676;26;1;;33;3;63
Q22;2014;490001765;490528452;19;1;;2;2;24
Q22;2014;490002979;490535705;1;;;;;1
Q22;2014;490009248;490535168;;;;1;;1
Q22;2014;490015906;490000197;1;;;;;1
Q22;2014;490016334;490016326;;;;1;;1
Q22;2014;490016870;440048643;;;;1;;1
Q22;2014;490529005;490000031;;;;7;;7
Q22;2014;490531910;490535093;7;;;2;;9
Q22;2014;490536224;490000031;;;;1;;1
Q22;2014;500000021;500000054;10;1;;14;1;26
Q22;2014;500000187;500000013;29;2;0;17;10;58
Q22;2014;500000229;500000567;1;0;0;0;0;1
Q22;2014;500000260;500000054;1;;;8;;9
Q22;2014;500000427;500000096;0;0;0;0;2;2
Q22;2014;500000450;500000112;27;0;0;16;0;43
Q22;2014;500000468;500000013;0;0;0;0;1;1
Q22;2014;500000575;500000245;;;;;1;1
Q22;2014;500000591;500000393;1;;;;;1
Q22;2014;500010384;500010384;4;;;;;4
Q22;2014;500015185;500015185;6;;;;;6
Q22;2014;500021423;500000567;1;;;;;1
Q22;2014;500021449;500018296;1;0;0;0;0;1
Q22;2014;510000169;510000037;13;2;;20;1;36
Q22;2014;510000185;510000532;3;;;;;3
Q22;2014;510000219;510000052;17;;;;;17
Q22;2014;510000235;510000060;4;1;;14;1;20
Q22;2014;510000250;510000078;3;0;0;2;0;5
Q22;2014;510000516;510000136;23;2;0;0;0;25
Q22;2014;510002447;510000029;148;21;0;14;1;184
Q22;2014;510002454;510000029;5;0;0;5;0;10
Q22;2014;510002470;510000029;17;0;0;5;0;22
Q22;2014;510004302;510000029;143;4;13;74;2;236
Q22;2014;520000027;520780032;0;0;0;8;2;10
Q22;2014;520000043;520780057;;;;;1;1
Q22;2014;520000068;520780073;4;0;0;14;0;18
Q22;2014;520000076;520780081;5;;;;;5
Q22;2014;530000017;530000025;12;;;;2;14
Q22;2014;530000173;530000074;1;;;16;;17
Q22;2014;530000264;530000371;8;2;;29;;39
Q22;2014;530032788;530000025;1;;;;;1
Q22;2014;540000015;540023264;32;1;;2;;35
Q22;2014;540000023;540000049;;;;10;;10
Q22;2014;540000155;540000080;;1;;7;1;9
Q22;2014;540000163;540020112;18;;;;;18
Q22;2014;540000296;540000106;;;;17;;17
Q22;2014;540000312;540000114;0;0;0;0;1;1
Q22;2014;540000395;540000122;3;;;;;3
Q22;2014;540000478;540003449;3;;;;;3
Q22;2014;540000585;540006707;1;0;0;0;0;1
Q22;2014;540000668;540006707;;;;1;7;8
Q22;2014;540001070;540000767;6;;;15;1;22
Q22;2014;540001096;570010181;;;;11;;11
Q22;2014;540001138;540023264;78;10;12;101;4;205
Q22;2014;540001286;540003019;26;1;2;;;29
Q22;2014;540002698;540023264;209;20;;31;11;271
Q22;2014;540003043;540023264;1;;;4;;5
Q22;2014;540006459;540023264;;;;2;;2
Q22;2014;540006830;540000767;;;;;1;1
Q22;2014;540008364;540000049;;;;1;;1
Q22;2014;540009412;540019726;2;;;;;2
Q22;2014;540009701;540019726;5;;;;;5
Q22;2014;540010568;540010519;1;;;;;1
Q22;2014;540013737;540019726;2;;;;;2
