BOR;AN;FI;FI_EJ;UNI;LIT;JLI;SEJ;PAS;PAS0;JOU;pctEXT;IGC2med;SEJ80;EFFPL_MED;EFFPA_MED;ETP_MED;EFFPL_INFSP;EFFPA_INFSP;ETP_INFNS;EFFPL_INFNS;EFFPA_INFNS;ETP_INFSP;EFFPL_AID;EFFPA_AID;ETP_AID;EFFPL_KINE;EFFPA_KINE;ETP_KINE;EFFPA_APNM;EFFPL_APNM;ETP_APNM
REA;2014;830100574;750821092;SURVADU;7;2555;524;;;2158;;;;1;;1;1;;11;11;;1;11;;11;1;;0.2;;;
REA;2014;830100574;750821092;USIC;8;2920;766;;;2544;;;;6;;6;;;8;8;;;5;1;5.8;;;;;2;2
REA;2014;830200523;830210084;SURVADU;4;1460;47;;;192;;;;0;4;0.5;;1;4;4;;0.5;4;;4;;;;;2;2
REA;2014;840000285;840000608;SURVADU;5;1825;123;;;991;;;;0;9;0.3;0;0;2.5;2;1;0;2;1;2.5;0;4;0.2;0;0;0
REA;2014;840000327;840000640;SURVADU;3;1095;46;;;102;;;;0;2;0.1;;;0.3;11;2;;7;0;0.3;;;;;;
REA;2014;840000392;840000046;SURVADU;6;2190;335;;;2017;;;;1;;1;;;6.54;8;4;;7;2;4.05;;;;;;
REA;2014;840000400;840000673;SURVADU;10;3650;445;;;1271;;;;1;0;1;;;;;;;;;;;;;;;
REA;2014;840000418;840004659;SURVADU;4;1460;725;;;791;;;;1;;1;;;3.75;3;1;;4;;4;;;;;;
REA;2014;840000483;840000087;SURVADU;8;2920;407;;;2295;;;;2;6;1.3;1;;8;8;;0.5;6;;6;;;;2;1;1.45
REA;2014;840001861;840006597;AUTSI;6;2190;70;;;1541;;;;2;0;0.4;1;;11.32;14;1;0.5;1;;0.45;;;;;1;0.15
REA;2014;840001861;840006597;REAADU;16;5840;880;910;94;5147;3;44;86;10;0;7.6;1;;45.35;46;9;0.45;30;8;27.95;2;;0.89;4;12;10.14
REA;2014;840001861;840006597;SITOT;22;8030;1962;;;6426;;;;;;;;;;;;;;;;;;;;;
REA;2014;840001861;840006597;SIUNV;4;1460;516;;;1131;;;;5;0;1.1;1;;2.11;12;5;0.09;11;1;1.7;1;;0.14;2;11;0.85
REA;2014;840001861;840006597;SURVADU;21;7665;2166;;;7386;;;;7;0;2.04;4;;21.68;96;35;0.26;71;12;16.18;;;;1;22;4.24
REA;2014;840001861;840006597;SURVENF;4;1460;1195;;;2187;;;;1;0;0.5;10;12;3.17;8;8;6.34;;;;1;;0.14;13;27;9.09
REA;2014;840001861;840006597;USIC;12;4380;1376;;;3754;;;;4;0;0.95;1;;18.1;14;8;1;15;6;15.4;;;;;5;2.5
REA;2014;840013312;840003685;SITOT;8;2920;876;;;2032;;;;;;;;;;;;;;;;;;;;;
REA;2014;840013312;840003685;SURVADU;19;6935;2620;;;6752;;;;20;;5;1;;11.46;18;1;1;14;0;9.17;;;;;;
REA;2014;840013312;840003685;USIC;8;2920;876;;;2032;;;;15;;5;1;;7.65;18;1;1;14;0;7.65;;;;;;
REA;2014;840017172;840017164;SURVADU;10;3650;127;;;800;;;;;2;0.5;;1;4.5;2;6;0.5;1;2;1.7;;;;3;2;1.6
REA;2014;850000118;850013244;SURVADU;8;2920;647;;;1342;;;;10;;10;1;;3.8;3;1;0.5;2;1;2.3;;;;;;
REA;2014;850000134;850013269;SURVADU;8;2920;380;;;1892;;;;3;;3;;;7;7;;;7;;7;3;;3;;;
