BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST;GARDED;ASTDED
PERINAT_P;2014;130780521;130786049;M1140;4;3;2.66;;;;
PERINAT_P;2014;130780521;130786049;M2050;12;5;4.73;;;;
PERINAT_P;2014;130780521;130786049;MIVG;0;8;1.11;;;;
PERINAT_P;2014;130780521;130786049;N2340;51;20;62.25;;;;
PERINAT_P;2014;130780521;130786049;N2700;1;;1.17;;;;
PERINAT_P;2014;130780521;130786049;N2800;25;10;29.46;;;;
PERINAT_P;2014;130780521;130786049;N280H;25;10;29.46;;;;
PERINAT_P;2014;130781370;130000532;M1030;4;;4;0;1;;
PERINAT_P;2014;130781370;130000532;MIVG;;3;1.5;;;;
PERINAT_P;2014;130781479;130000599;M1030;9;;9;0;1;0;0
PERINAT_P;2014;130781479;130000599;M1140;1;5;4;0;1;;
PERINAT_P;2014;130781479;130000599;M2050;3;1;3.5;0;1;;
PERINAT_P;2014;130781479;130000599;MIVG;3;1;3.5;;;;
PERINAT_P;2014;130781479;130000599;N2340;1;;1;;;;
PERINAT_P;2014;130781479;130000599;N2800;8;;7.6;;;;
PERINAT_P;2014;130781479;130000599;N280H;8;;7.6;;;;
PERINAT_P;2014;130783236;130786049;M1140;10;5;4.29;;;;
PERINAT_P;2014;130783236;130786049;M2050;15;12;10.8;;;;
PERINAT_P;2014;130783236;130786049;N2340;50;12;57.88;;;;
PERINAT_P;2014;130783236;130786049;N2700;2;3;1.1;;;;
PERINAT_P;2014;130783236;130786049;N2800;33;27;61.46;;;;
PERINAT_P;2014;130783236;130786049;N280H;27;25;50.3;;;;
PERINAT_P;2014;130783327;130001415;M1030;;17;3.4;1;0;1;0
PERINAT_P;2014;130783327;130001415;M1140;2;6;8.3;1;0;;
PERINAT_P;2014;130783327;130001415;M2050;13;4;13.8;1;0;;
PERINAT_P;2014;130783327;130001415;N2340;3;1;2.5;;;;
PERINAT_P;2014;130783327;130001415;N2700;1;;1;;;;
PERINAT_P;2014;130783327;130001415;N2800;16;15;30.8;;;;
PERINAT_P;2014;130783327;130001415;N280H;10;9;16.5;;;;
PERINAT_P;2014;130783327;130001415;N3120;1;;1;;;;
PERINAT_P;2014;130784713;130038847;M1030;9;10;14;1;;1;
PERINAT_P;2014;130784713;130038847;M1140;;6;3;0;1;;
PERINAT_P;2014;130784713;130038847;M2050;11;4;13;1;;;
PERINAT_P;2014;130784713;130038847;MIVG;4;1;4.5;;;;
PERINAT_P;2014;130784713;130038847;N2340;7;1;6.74;;;;
